Raman Shift (cm-1),E10_a,E50_a,EM2_b,Ethanol,EM3_a,EM6_b,EM4_a,EM3_b,EM1_b,E70_a,Methanol,EM1_a,E40_a,EM2_a,E80_a,E30_a,EM8_b,E5_a,E90_a,EM6_a,EM9_a,EM4_b,EM9_b,EM5_a,EMX,EMX_b
1480.6,73.517,401.917,899.844,1218.721,1548.556,926.644,1301.022,1041.978,790.444,450.517,347.86,1166.489,442.183,1662.422,95.985,212.55,1088.778,35.783,964.35,1442.189,1414.789,841.411,966.711,1281.622,1879.089,1718.578
1492.3,-44.15,181.317,696.367,826.25,1202.567,681.967,1070.878,837.367,521.5,250.15,437.675,842.133,263.883,1258.6,81.238,58.183,917.9,31.15,547.417,1255.744,1269.344,710.767,757.8,1052.344,1733.411,1525.167
1504.0,-12.058,124.942,583.406,700.573,1100.033,649.506,984.556,718.906,442.906,165.408,455.173,731.8,177.208,1202.067,58.921,63.708,931.706,26.675,405.942,1250.956,1351.722,662.706,769.039,1011.422,1745.122,1515.072
1515.7,-15.358,69.008,639.256,687.017,1222.089,710.522,1037.311,707.356,434.856,155.442,423.335,802.222,202.475,1265.222,73.091,51.608,936.589,19.075,361.008,1297.178,1403.111,654.256,839.389,1069.078,1908.978,1441.789
1527.3,-12.817,163.317,627.533,690.597,1288.567,700.767,1054.567,750.833,431.633,237.383,449.24,777.5,226.883,1252.7,74.472,68.383,987.833,74.75,403.617,1365.133,1498.067,656.7,880.0,1045.667,2056.1,1569.5
1539.0,-2.333,124.1,620.633,645.038,1152.356,700.3,1018.2,713.267,430.133,157.933,535.875,750.056,171.433,1184.122,59.71,34.433,979.4,20.133,373.4,1264.9,1431.4,663.733,859.967,1043.567,1887.833,1585.2
1550.6,-18.942,156.192,642.828,695.345,1259.044,748.094,1062.811,796.761,452.261,199.458,567.377,828.578,210.092,1261.478,72.616,25.792,1016.261,35.292,447.725,1339.544,1494.311,695.361,938.528,1122.278,1862.478,1511.761
1562.2,-29.367,120.933,731.867,778.933,1386.056,789.833,1208.511,880.3,545.8,240.467,597.66,983.989,217.233,1414.156,81.72,91.1,1087.067,33.6,559.533,1502.211,1632.678,803.833,979.667,1270.544,1963.844,1562.3
1573.7,54.033,293.133,794.406,899.388,1516.578,890.272,1241.678,940.039,621.706,349.633,673.998,964.544,355.9,1505.111,81.777,145.033,1059.906,76.5,771.133,1543.411,1680.944,839.306,1090.939,1369.644,2000.578,1617.539
1585.3,43.6,288.833,893.833,990.094,1719.333,902.633,1391.467,1014.867,700.8,373.633,730.895,1132.6,350.933,1653.633,96.263,159.5,1190.567,70.9,778.033,1684.933,1798.433,897.8,1189.267,1466.867,2145.033,1700.233
1596.8,-9.417,383.85,957.711,1103.83,1821.822,1052.144,1559.2,1168.344,844.611,434.05,763.776,1297.256,395.383,1883.122,101.618,189.45,1280.711,63.283,1000.317,1790.933,1889.267,1062.078,1255.144,1581.433,2254.533,1787.044
1608.4,79.333,492.2,1145.089,1346.428,2160.478,1184.722,1828.856,1380.522,1052.389,528.767,958.56,1596.378,503.133,2132.911,147.807,246.133,1393.022,45.033,1350.1,2102.656,2029.156,1231.622,1411.322,1812.922,2505.422,1939.256
1619.8,98.925,618.625,1420.828,1698.086,2902.944,1436.461,2423.744,1704.128,1463.561,684.025,1092.797,2154.444,700.392,2867.011,169.203,328.425,1645.928,51.958,1818.592,2605.978,2498.044,1512.994,1656.128,2374.644,3006.478,2175.728
1631.3,133.917,1223.25,2133.65,2509.06,4282.967,2122.417,3626.4,2571.517,2369.35,1222.783,1684.385,3298.467,1153.917,4203.4,236.752,565.717,2311.117,103.417,3047.55,3840.033,3526.267,2257.317,2451.617,3503.933,4168.0,2891.183
1642.8,270.583,1681.55,2798.544,3317.613,5155.189,2685.778,4236.378,3251.411,3055.111,1718.383,2342.911,3907.756,1721.283,4948.922,328.178,938.517,2896.111,95.517,3942.317,4611.078,4326.244,2869.644,3225.678,4194.178,5003.011,3591.078
1654.2,151.55,1215.617,2238.061,2744.148,4103.167,2464.561,3495.467,2714.594,2365.594,1254.85,2413.769,2937.033,1225.183,3935.233,254.262,588.25,2776.961,101.55,2955.117,3966.5,3921.833,2426.761,3102.428,3569.667,4073.9,3061.328
1665.6,131.025,779.792,1706.528,2007.995,3281.733,2005.061,2770.622,2148.361,1714.394,849.258,2126.693,2213.267,791.692,3079.967,199.253,395.458,2405.194,60.425,2042.258,3320.389,3463.289,1988.294,2704.161,2937.856,3177.656,2422.894
1677.0,53.892,613.625,1330.05,1616.226,2544.633,1608.183,2157.522,1696.017,1317.317,610.658,1787.863,1748.067,615.558,2404.067,140.996,316.792,1945.95,39.225,1568.258,2669.456,2771.922,1533.983,2137.817,2297.456,2421.389,1969.417
1688.4,46.808,353.875,1022.467,1203.783,1889.2,1271.8,1654.056,1292.233,912.633,397.142,1402.706,1196.5,375.775,1792.9,105.694,180.708,1611.667,54.608,999.442,2127.356,2293.322,1190.767,1712.933,1731.856,2010.656,1625.533
1699.8,-10.808,206.825,791.322,907.865,1542.222,1029.656,1357.411,1049.622,606.189,272.592,1188.235,915.289,273.725,1460.489,63.769,79.658,1334.956,64.458,623.892,1761.444,2010.244,920.356,1406.056,1488.444,1740.178,1519.889
1711.1,-36.425,136.875,679.544,750.67,1303.056,939.878,1137.956,895.644,522.811,156.542,1067.554,742.922,151.942,1256.822,66.114,48.408,1195.144,44.775,452.975,1562.489,1810.556,842.311,1314.711,1264.656,1540.189,1359.378
1722.4,-28.275,102.158,612.45,653.049,1201.2,818.417,1068.456,778.05,394.717,133.392,974.149,637.367,137.892,1080.833,61.693,30.092,1105.983,40.492,343.225,1463.589,1697.856,746.35,1206.15,1156.956,1491.522,1276.05
1733.8,4.25,71.183,520.672,606.095,1075.644,753.772,910.267,717.606,315.272,121.15,902.489,594.978,113.617,1026.044,66.515,3.483,1055.839,45.65,266.083,1331.133,1615.433,658.139,1106.372,1101.767,1390.667,1178.506
1745.0,-27.5,37.3,497.561,523.492,1000.833,728.561,911.289,673.061,280.894,48.167,836.468,540.033,65.2,944.033,45.053,-17.2,1030.328,41.967,171.0,1278.556,1511.122,597.361,1032.061,1002.956,1347.056,1165.294
1756.3,-1.517,20.017,473.994,522.599,966.789,658.628,842.7,619.794,232.128,68.417,772.486,506.222,76.85,909.756,45.788,12.783,1012.194,63.783,137.217,1186.133,1481.833,559.828,940.761,966.7,1317.433,1173.594
1767.6,-19.592,-1.358,427.089,480.681,874.822,593.889,765.111,556.122,213.756,16.808,708.11,437.356,13.375,857.022,44.148,-18.792,887.956,31.775,64.742,1109.878,1375.544,520.056,860.022,875.078,1234.378,1125.356
1778.8,-0.267,-12.333,369.0,507.58,870.711,550.367,767.022,508.167,198.567,38.5,613.64,452.078,74.733,857.144,45.147,0.867,867.967,92.867,89.267,1066.456,1297.922,472.233,814.367,852.456,1258.956,1053.233
1790.0,-30.908,-6.808,357.828,511.738,817.344,505.661,644.889,468.094,170.761,45.692,576.313,411.211,61.725,793.078,32.172,-48.175,755.828,47.825,25.092,1018.856,1234.456,394.428,768.994,748.256,1228.022,978.261
1801.2,19.417,-10.283,347.783,527.715,699.911,500.583,609.656,415.95,135.217,57.95,536.092,396.111,75.883,748.411,52.718,21.117,741.95,65.617,68.983,954.722,1162.756,388.05,700.95,725.622,1192.789,980.117
1812.4,4.2,-23.3,367.533,470.897,734.844,447.2,635.256,447.067,175.033,15.033,507.714,358.644,51.967,721.211,32.23,-29.2,696.833,64.067,25.933,858.322,1097.122,428.4,627.733,707.522,1142.856,1007.067
1823.5,-15.833,-82.633,334.15,464.49,678.222,433.95,566.411,443.35,114.283,-5.9,486.38,370.356,-146.867,673.722,28.613,-23.533,670.017,30.567,-43.8,836.444,1007.811,365.617,555.217,635.478,1089.011,959.917
1834.6,-9.558,-44.592,307.306,428.361,635.689,396.172,565.833,395.339,108.106,25.542,454.545,280.089,51.408,596.089,36.664,-55.125,622.606,55.842,-21.658,802.967,987.233,361.939,569.306,586.967,1039.067,933.706
