Raman Shift (cm-1),EM5_a,EM6_a,Methanol,E60_a,E5_a,E50_a,E30_a,EM1_a,EM8_a,E90_a,Ethanol,EM3_a,E40_a,E20_a,EM2_a,EM9_a,EMX
803.8,0.04439517965191099,0.052578617066064294,0.023364267701166088,0.001916322053492501,0.03445166855658884,0.0,0.0,0.027042756692044295,0.060418760921661194,0.0,0.018405464378366414,0.03617825726239954,0.010860509995770172,0.009939851045586416,0.03949336323809002,0.06024635241698424,0.06575298776933332
816.7,0.044986439931356134,0.053098149276252456,0.023513283313020675,0.0,0.05924345195895044,0.0,0.0,0.026657365690639513,0.061651620257109484,0.0,0.01841829858890593,0.03556129284184479,0.005960042696211829,0.0,0.038240240369995564,0.058474176506390675,0.06543821303136166
829.6,0.04321310811498593,0.04975413323542074,0.023598757074900945,5.2136956376627175e-05,0.031478856711735795,0.0,0.0,0.02593971014802466,0.057909076269582666,0.0,0.017719781467480367,0.0352787502674077,0.006681454732438355,0.0,0.03706065915467237,0.05613916374130383,0.06123949665181011
842.4,0.04518852643742866,0.05061830533370274,0.02027974162982589,0.0,0.06918271437402371,0.0026965864007985176,0.0,0.02378564713427049,0.06075108382793518,0.002126987800102703,0.019369929044171823,0.03660435147625164,0.007198105267803744,0.01608911794630224,0.03792925780845437,0.05840452919810811,0.06392261944606556
855.2,0.04248406968273465,0.049527439514461806,0.02483759751819358,0.0,0.02332716161327086,0.0,0.0,0.023802791111670732,0.05656490851788488,0.0,0.017827309977599324,0.034648673488404814,0.002376279586119992,0.0,0.03605125510547511,0.05583931234019085,0.06014428107504279
868.1,0.043691604079296044,0.048610172748115216,0.022077330890469996,0.0,0.027561481595074388,0.0,0.0,0.024534849570385278,0.05885407717547292,0.0,0.019659759468834265,0.03495865694901563,0.006441954854146997,0.00708243578647351,0.03759544295584019,0.05569345678074297,0.062222389791809024
880.8,0.041961159517118304,0.05015431111135017,0.022833399603129127,0.0,0.04209147864483152,0.0,0.0,0.026213266417734592,0.060241842959406725,0.0,0.019290412532323057,0.03535940065162797,0.0017961924093228875,0.0,0.03803056438903947,0.057586336815019144,0.0630642032599478
893.6,0.04307887767605388,0.048287066198498714,0.02289377365380444,0.0,0.0641671226346952,0.0,0.0,0.024558123507170914,0.059853028471782976,0.0,0.01864618979884752,0.035319721539109616,0.0033648816256586227,0.0,0.03670356355047858,0.05638467508677908,0.06321930989928591
906.4,0.0439560679499714,0.04883457891472854,0.02188858593060105,0.0,0.016598656531444673,0.0,0.0,0.024764648804753913,0.05775877520847161,0.0,0.019448161956905418,0.03465376635234787,0.002430139844173,0.0021212352418439264,0.03613473679272394,0.05607339047593236,0.062034759928337575
919.1,0.042712113041000685,0.04927684495675851,0.02223092969825091,0.0,0.05759712138982064,0.0011826332778407712,0.0,0.025217070794738998,0.056747448168041344,0.0004608815414255583,0.019167092225812966,0.035432069621007915,0.0030457199674190933,0.006384214709899399,0.036842649925701715,0.05541357833454132,0.06268263585009003
931.8,0.04269715862388827,0.04919547581747804,0.020735680186156305,0.0003885147838104753,0.033430673852680205,0.0,0.0,0.026490660153735107,0.056985451908570704,0.0,0.01891515062445495,0.03542401216769979,0.000885485245461905,0.005034028334424695,0.037555981524074064,0.05503794305728485,0.06170595822334381
944.4,0.04290220908174364,0.04878229785072976,0.0196751441768474,0.001655171382508162,0.028673851125327367,0.0,0.012022833863965793,0.026326795460638847,0.05614214405448849,0.0,0.018890319152080642,0.034984843565624466,0.005356475612045436,0.010119692434793945,0.03661720437987219,0.05750307335309165,0.06371362653810599
957.1,0.04387572727148059,0.04773004512987267,0.021488036995993245,0.0011059007509291272,0.005500751513986918,0.0,0.0,0.02459076679265296,0.05608545368948496,0.0,0.01779288058026343,0.033132658099194315,0.00832619007187216,0.0,0.03567054243463155,0.05374189087136025,0.06144602925594703
969.7,0.041123847544570394,0.04767885496492114,0.02290090518923926,0.0,0.057124418950890904,0.0,0.0,0.024874838757750463,0.05417986728204542,0.00014262186402845092,0.019106548041755222,0.03321118014001352,0.0027374513331250494,0.0,0.037546452466252496,0.05341475007131536,0.06175445350678508
982.3,0.03963339197141649,0.04685312442528695,0.02206670240519014,0.002052926909131781,0.04675266299877327,0.001471484032001278,0.0,0.025956305752547853,0.05672287506011728,0.001427345667500356,0.01936088904524483,0.03373061908465149,0.006107702671416265,0.008276200360840617,0.037379526356832476,0.05452870926880324,0.06450686708276689
994.9,0.04241473139867975,0.04901151483713283,0.019768958832977756,0.0009110183738212834,0.08283107956182509,0.0,0.0,0.02747688822284659,0.05777308570010235,0.0005016279933600283,0.02164019306209393,0.03771795062138646,0.009773331830396262,0.007962127230486244,0.03919482431524804,0.0565617487586828,0.07126630140074634
1007.5,0.04646791366330084,0.05193824994032648,0.021472557474372062,0.003918542108433815,0.014201295696641619,0.004412701070376452,0.0,0.03358249211305026,0.058966264325659885,0.002784961695461989,0.02365014558242609,0.042561689415447336,0.006783958790043003,0.0,0.042425126450396485,0.06042820355033589,0.10838349367823195
1020.0,0.04912997712692915,0.05479659269279445,0.019938356680239525,0.0022663189580228622,0.024356891892410002,0.0,0.0,0.03555106107874077,0.06338977571612685,0.004908199750685562,0.026076820078830536,0.042075202346400595,0.009898605612352078,0.0009479345458887157,0.04455140694639611,0.05998354948305569,0.20632684416812583
1032.5,0.04618351052138005,0.05298398971122994,0.021096077578930155,0.007748744265405765,0.018204319015352306,0.0033837179962102394,0.0032246275449086936,0.036310829017060474,0.05834134003430212,0.006671444241973224,0.027101438286521857,0.04278509337369539,0.014909661379819097,0.0,0.04460166787271899,0.05660090941143647,0.14858520059725572
1045.0,0.0524706471643897,0.05808297140203665,0.019008381496343953,0.015331193172691434,0.09351463945757771,0.01269618745746631,0.0086697622954577,0.042902046480799795,0.06312315209495761,0.013476030980600398,0.030842338275521897,0.05018840021216739,0.02398273319058955,0.010706834763817378,0.049522680644895664,0.061856613304018905,0.08267699918212125
1057.5,0.06112745052096297,0.06257841358121595,0.020063894157509768,0.034883040298914654,0.0891939213761866,0.03765328685338755,0.03422263958706082,0.05305004447388477,0.06502143395117499,0.028509295857072653,0.04256596398803667,0.05899161156877287,0.042771649820711626,0.039450943125116794,0.062110560181683164,0.061003903481896986,0.07826654355276429
1070.0,0.10520575725147431,0.09609451695390185,0.021346320152241072,0.15096146553360093,0.17000527453712808,0.15706745931386715,0.17334986242582806,0.13436270813170698,0.0776229881102216,0.11237404722289122,0.09446403225881024,0.12408715264208076,0.16937788393948822,0.17438116534627685,0.13250079606471318,0.06447426217507421,0.10003107250545107
